season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2010,2010/02/13,Dubai (DSC),Afghanistan , Ireland,Afghanistan , Ireland,field,,8
2010,2010/02/13,Dubai (DSC),Ireland , Netherlands,Ireland ,Ireland ,bat,65,
2010,2010/02/19,Dubai (DSC),England, Pakistan,England, Pakistan,bat,,7
2010,2010/02/20,Dubai (DSC),England,Pakistan,Pakistan,Pakistan,field,,4
2010,2010/02/21,Hobart,Australia ,West Indies,Australia ,Australia ,bat,38,
2010,2010/02/23,Sydney,Australia , West Indies,Australia , West Indies,bat,,8
2010,2010/02/26,Wellington,New Zealand, Australia, Australia,New Zealand,bat,,6
2010,2010/02/28,Christchurch,New Zealand, Australia,,New Zealand,bat,-,-
2010,2010/02/28,Port of Spain,West Indies , Zimbabwe, Zimbabwe, Zimbabwe,bat,26,
2010,2010/04/30,Providence,New Zealand, Sri Lanka,New Zealand,New Zealand,bat,,2
2010,2010/04/30,Providence,New Zealand, Sri Lanka, Sri Lanka,New Zealand,bat,70,
2010,2010/05/01,Gros Islet,Afghanistan , India, India, India,field,,7
2010,2010/05/01,Gros Islet,Bangladesh , Pakistan, Pakistan, Pakistan,bat,21,
2010,2010/05/02,Gros Islet,Australia , Pakistan,Australia ,Australia ,bat,34,
2010,2010/05/02,Gros Islet,India , South Africa,India , South Africa,field,14,
2010,2010/05/03,Providence,Sri Lanka , Zimbabwe,Sri Lanka ,Sri Lanka ,bat,14,
2010,2010/05/03,Providence,West Indies , England, England,West Indies ,field,,8
2010,2010/05/04,Providence,England, Ireland,, Ireland,field,-,-
2010,2010/05/04,Providence,New Zealand,Zimbabwe,Zimbabwe,Zimbabwe,bat,7,
2010,2010/05/05,Bridgetown,Afghanistan , South Africa, South Africa,Afghanistan ,field,59,
2010,2010/05/05,Bridgetown,Australia ,Bangladesh,Australia ,Australia ,bat,27,
2010,2010/05/06,Bridgetown,England, Pakistan,England,England,field,,6
2010,2010/05/06,Bridgetown,New Zealand, South Africa, South Africa, South Africa,bat,13,
2010,2010/05/07,Bridgetown,Australia , India, India, India,field,49,
2010,2010/05/07,Bridgetown,West Indies , Sri Lanka, Sri Lanka, Sri Lanka,bat,57,
2010,2010/05/08,Bridgetown,England, South Africa,England,England,bat,39,
